0,0
0.4,0
0.8,0
1.2,0
1.6,0
2,0
2.4,0
2.8,1028.157
3.2,1101.441
3.6,1101.441
4,1101.14
4.4,1100.383
4.8,1100.839
5.2,1100.836
5.6,1100.836
6,1101.325
6.4,1101.83
6.8,1101.298
7.2,1101.602
7.6,1101.602
8,1101.978
8.4,1100.587
8.8,1101.086
9.2,1101.148
9.6,1101.148
10,612.8
10.4,34.838
10.8,696.326
11.2,1101.374
11.6,1101.374
12,517.588
12.4,23.072
12.8,777.474
13.2,1100.71
13.6,1100.71
14,1057.74
14.4,11.637
14.8,874.053
15.2,1100.16
15.6,1100.16
16,1025.105
16.4,7.89
16.8,935.42
17.2,954.832
17.6,954.832
18,4.423
18.4,0
18.8,984.9
19.2,894.8
19.6,894.8
20,3.059
20.4,0
20.8,311.217
21.2,822.552
21.6,822.552
22,2.189
22.4,0
22.8,400.62
23.2,740.22
23.6,740.22
24,1.524
24.4,0
24.8,496.042
25.2,647.149
25.6,647.149
26,40.557
26.4,0.508
26.8,591.793
27.2,552.014
27.6,552.014
28,26.797
28.4,0
28.8,683.114
29.2,1065.149
29.6,1065.149
30,17.772
30.4,0
30.8,57.203
31.2,1047.093
31.6,1047.093
32,11.779
32.4,0
32.8,95.312
33.2,1018.519
33.6,1018.519
34,7.958
34.4,0.615
34.8,0
35.2,0
35.6,0
36,0
36.4,0
36.8,0
37.2,0
37.6,0
38,0
38.4,0
38.8,0
39.2,0
39.6,0
40,0
40.4,0
40.8,0
41.2,0
41.6,0
42,0
42.4,0
42.8,0
43.2,0
43.6,0
44,0
44.4,0
44.8,12.473
45.2,1069.45
45.6,1069.45
46,26.963
46.4,0.971
46.8,29.198
47.2,1063.526
47.6,1063.526
48,17.963
48.4,0.798
48.8,56.046
49.2,1049.41
49.6,1049.41
50,375.328
50.4,0.66
50.8,0
51.2,0
51.6,0
52,0
52.4,0
52.8,0
53.2,0
53.6,0
54,0
54.4,0
54.8,0
55.2,0
55.6,0
56,0
56.4,0
56.8,0
57.2,0
57.6,0
58,0
58.4,0
58.8,0
59.2,0
59.6,0
60,0
60.4,0
60.8,0.536
61.2,0
61.6,0
62,0
62.4,0
62.8,0.536
63.2,0
63.6,0
64,0
64.4,0
64.8,0.582
65.2,0.551
65.6,0.551
66,0.531
66.4,0
66.8,0
67.2,765.625
67.6,765.625
68,370.026
68.4,0.661
68.8,0.697
69.2,40.016
69.6,40.016
70,40.897
70.4,40.884
70.8,39.837
71.2,39.673
71.6,39.673
72,39.441
72.4,38.291
72.8,37.581
73.2,37.23
73.6,37.23
74,37.162
74.4,37.383
74.8,37.303
75.2,37.234
75.6,37.153
76,37.153
76.4,37.286
76.8,37.318
77.2,37.316
77.6,37.229
78,37.229
78.4,37.21
78.8,37.112
79.2,37.051
79.6,36.976
80,36.976
80.4,36.775
80.8,37.066
81.2,989.555
81.6,184.913
82,184.913
82.4,39.958
82.8,36.731
83.2,1046.579
83.6,876.522
84,876.522
84.4,38.964
84.8,37.084
85.2,1074.296
85.6,1113.701
86,1113.701
86.4,21.525
86.8,2.752
87.2,475.999
87.6,1095.731
88,1095.731
88.4,1070.594
88.8,435.237
89.2,577.907
89.6,1093.248
90,1093.248
90.4,1044.436
90.8,350.798
91.2,674.184
91.6,1130.332
92,1130.332
92.4,1063.92
92.8,46.136
93.2,68.657
93.6,1113.985
94,1113.985
94.4,1125.937
94.8,119.21
95.2,105.749
95.6,826.328
96,826.328
96.4,1127.297
96.8,78.361
97.2,36.797
97.6,37.269
98,37.269
98.4,37.362
98.8,37.35
99.2,37.317
99.6,37.272
100,37.272
100.4,37.318
100.8,37.368
101.2,37.358
101.6,1016.968
102,1016.968
102.4,1093.478
102.8,420.162
103.2,37.452
103.6,1055.453
104,1055.453
104.4,872.22
104.8,39.2
105.2,37.449
105.6,1083.696
106,1083.696
106.4,1115.417
106.8,56.229
107.2,43.063
107.6,567.874
108,567.874
108.4,1075.802
108.8,46.676
109.2,37.268
109.6,628.883
110,628.883
110.4,1095.601
110.8,1027.347
111.2,299.081
111.6,721.022
112,721.022
112.4,1132.797
112.8,1009.829
113.2,42.337
113.6,103.456
114,103.456
114.4,1120.697
114.8,953.778
115.2,40.24
115.6,144.784
116,144.784
116.4,896.145
116.8,891.41
117.2,39.043
117.6,37.016
118,37.016
118.4,957.99
118.8,759.057
119.2,37.988
119.6,37.066
